threshold,precision,recall,f1
0.1,0.6463414634146342,1.0,0.7851851851851852
0.11,0.6463414634146342,1.0,0.7851851851851852
0.12,0.654320987654321,1.0,0.7910447761194029
0.13,0.6625,1.0,0.7969924812030075
0.14,0.6842105263157895,0.9811320754716981,0.8062015503875969
0.15,0.7123287671232876,0.9811320754716981,0.8253968253968254
0.16,0.7083333333333334,0.9622641509433962,0.816
0.17,0.7183098591549296,0.9622641509433962,0.8225806451612904
0.18,0.7183098591549296,0.9622641509433962,0.8225806451612904
0.19,0.7183098591549296,0.9622641509433962,0.8225806451612904
0.2,0.7285714285714285,0.9622641509433962,0.8292682926829268
0.21,0.7285714285714285,0.9622641509433962,0.8292682926829268
0.22,0.7285714285714285,0.9622641509433962,0.8292682926829268
0.23,0.7285714285714285,0.9622641509433962,0.8292682926829268
0.24,0.7285714285714285,0.9622641509433962,0.8292682926829268
0.25,0.7391304347826086,0.9622641509433962,0.8360655737704918
0.26,0.7391304347826086,0.9622641509433962,0.8360655737704918
0.27,0.75,0.9622641509433962,0.8429752066115702
0.28,0.75,0.9622641509433962,0.8429752066115702
0.29,0.7611940298507462,0.9622641509433962,0.85
0.3,0.7575757575757576,0.9433962264150944,0.8403361344537815
0.31,0.7575757575757576,0.9433962264150944,0.8403361344537815
0.32,0.7575757575757576,0.9433962264150944,0.8403361344537815
0.33,0.7692307692307693,0.9433962264150944,0.847457627118644
0.34,0.7692307692307693,0.9433962264150944,0.847457627118644
0.35,0.7692307692307693,0.9433962264150944,0.847457627118644
0.36,0.78125,0.9433962264150944,0.8547008547008547
0.37,0.78125,0.9433962264150944,0.8547008547008547
0.38,0.7777777777777778,0.9245283018867925,0.8448275862068966
0.39,0.7741935483870968,0.9056603773584906,0.8347826086956521
0.4,0.8,0.9056603773584906,0.8495575221238938
0.41,0.8135593220338984,0.9056603773584906,0.8571428571428571
0.42,0.8135593220338984,0.9056603773584906,0.8571428571428571
0.43,0.8135593220338984,0.9056603773584906,0.8571428571428571
0.44,0.8135593220338984,0.9056603773584906,0.8571428571428571
0.45,0.8135593220338984,0.9056603773584906,0.8571428571428571
0.46,0.8103448275862069,0.8867924528301887,0.8468468468468469
0.47,0.8070175438596491,0.8679245283018868,0.8363636363636363
0.48,0.8070175438596491,0.8679245283018868,0.8363636363636363
0.49,0.8070175438596491,0.8679245283018868,0.8363636363636363
0.5,0.8070175438596491,0.8679245283018868,0.8363636363636363
0.51,0.8214285714285714,0.8679245283018868,0.8440366972477065
0.52,0.8363636363636363,0.8679245283018868,0.8518518518518519
0.53,0.8363636363636363,0.8679245283018868,0.8518518518518519
0.54,0.8363636363636363,0.8679245283018868,0.8518518518518519
0.55,0.8363636363636363,0.8679245283018868,0.8518518518518519
0.56,0.8333333333333334,0.8490566037735849,0.8411214953271028
0.57,0.8490566037735849,0.8490566037735849,0.8490566037735849
0.58,0.8461538461538461,0.8301886792452831,0.8380952380952381
0.59,0.8431372549019608,0.8113207547169812,0.8269230769230769
0.6,0.8431372549019608,0.8113207547169812,0.8269230769230769
0.61,0.86,0.8113207547169812,0.8349514563106796
0.62,0.86,0.8113207547169812,0.8349514563106796
0.63,0.86,0.8113207547169812,0.8349514563106796
0.64,0.86,0.8113207547169812,0.8349514563106796
0.65,0.8571428571428571,0.7924528301886793,0.8235294117647058
0.66,0.8571428571428571,0.7924528301886793,0.8235294117647058
0.67,0.8571428571428571,0.7924528301886793,0.8235294117647058
0.68,0.8541666666666666,0.7735849056603774,0.8118811881188119
0.69,0.8695652173913043,0.7547169811320755,0.8080808080808081
0.7,0.8695652173913043,0.7547169811320755,0.8080808080808081
0.71,0.8636363636363636,0.7169811320754716,0.7835051546391752
0.72,0.8636363636363636,0.7169811320754716,0.7835051546391752
0.73,0.8636363636363636,0.7169811320754716,0.7835051546391752
0.74,0.8636363636363636,0.7169811320754716,0.7835051546391752
0.75,0.8636363636363636,0.7169811320754716,0.7835051546391752
0.76,0.8604651162790697,0.6981132075471698,0.7708333333333334
0.77,0.8809523809523809,0.6981132075471698,0.7789473684210526
0.78,0.875,0.660377358490566,0.7526881720430108
0.79,0.8974358974358975,0.660377358490566,0.7608695652173914
0.8,0.8974358974358975,0.660377358490566,0.7608695652173914
0.81,0.8974358974358975,0.660377358490566,0.7608695652173914
0.82,0.8974358974358975,0.660377358490566,0.7608695652173914
0.83,0.8947368421052632,0.6415094339622641,0.7472527472527473
0.84,0.9142857142857143,0.6037735849056604,0.7272727272727273
0.85,0.9117647058823529,0.5849056603773585,0.7126436781609196
0.86,0.9333333333333333,0.5283018867924528,0.6746987951807228
0.87,0.9285714285714286,0.49056603773584906,0.6419753086419753
0.88,0.9285714285714286,0.49056603773584906,0.6419753086419753
0.89,0.9259259259259259,0.4716981132075472,0.625
0.9,0.96,0.4528301886792453,0.6153846153846154
